episode,return,epsilon,emotion,competitive_mindset,win_rate,had_competition,competition_outcome,psa_stability,infrastructure_loop_speed,infrastructure_automation,lr_actual
0,-500.0,0.997,0.5,BALANCED,0.0,False,none,0.0,0.5,0.7,0.00054
10,-500.0,0.9674905716180701,0.5,BALANCED,0.0,True,draw,1.0,0.5,0.7,0.00054
20,-500.0,0.9388545698794984,0.5,BALANCED,0.0,True,draw,0.9848473466881534,0.5,0.7,0.00054
30,-500.0,0.9110661429076764,0.5,BALANCED,0.0,True,draw,0.966058179833263,0.5,0.7,0.00054
40,-500.0,0.884100203995605,0.5,BALANCED,0.0,True,draw,0.9609833690134065,0.5,0.7,0.00054
50,-500.0,0.857932408958235,0.5,BALANCED,0.0,True,draw,0.9647168763288724,0.5,0.7,0.00054
60,-500.0,0.8325391341551359,0.5,BALANCED,0.0,True,draw,0.96754370669961,0.5,0.7,0.00054
70,-500.0,0.8078974551636565,0.5,BALANCED,0.0,True,draw,0.9683780561556782,0.5,0.7,0.00054
80,-500.0,0.78398512608332,0.5,BALANCED,0.0,True,draw,0.9702639454040695,0.5,0.7,0.00054
90,-500.0,0.7607805594527743,0.5,BALANCED,0.0,True,draw,0.970154811753313,0.5,0.7,0.00054
100,-500.0,0.7382628067611632,0.5,BALANCED,0.0,True,draw,0.9715684428378185,0.5,0.7,0.00054
110,-500.0,0.7164115395363275,0.5,BALANCED,0.0,True,draw,0.9727974665411578,0.5,0.7,0.00054
120,-500.0,0.6952070309927615,0.5,BALANCED,0.0,True,draw,0.9694666494814972,0.5,0.7,0.00054
130,-500.0,0.6746301382227565,0.5,BALANCED,0.0,True,draw,0.9649403191059451,0.5,0.7,0.00054
140,-500.0,0.6546622849146564,0.5,BALANCED,0.0,True,draw,0.9661211162941474,0.5,0.7,0.00054
150,-500.0,0.6352854445826206,0.5,BALANCED,0.0,True,draw,0.9671891958799226,0.5,0.7,0.00054
160,-500.0,0.6164821242927577,0.5,BALANCED,0.0,True,draw,0.9681614481235717,0.5,0.7,0.00054
170,-500.0,0.598235348870935,0.5,BALANCED,0.0,True,draw,0.969051420453033,0.5,0.7,0.00054
180,-500.0,0.5805286455780104,0.5,BALANCED,0.0,True,draw,0.9698701219123911,0.5,0.7,0.00054
190,-500.0,0.5633460292386493,0.5,BALANCED,0.0,True,draw,0.9706266032849801,0.5,0.7,0.00054
200,-330.0,0.5466719878103016,0.5,BALANCED,0.0,True,draw,0.9634872521726037,0.5,0.7,0.00054
210,-274.0,0.5304914683793133,0.5,BALANCED,0.0,True,draw,0.9539817479465739,0.5,0.7,0.00054
220,-447.0,0.5147898635715258,0.5,BALANCED,0.0,True,draw,0.9540537172663879,0.5,0.7,0.00054
230,-500.0,0.49955299836509925,0.5,BALANCED,0.0,True,draw,0.9365652628052341,0.5,0.7,0.00054
240,-367.0,0.4847671172936517,0.5,BALANCED,0.0,True,draw,0.9337902040276851,0.5,0.7,0.00054
250,-500.0,0.47041887202816357,0.5,BALANCED,0.0,True,draw,0.9344123194959544,0.5,0.7,0.00054
260,-268.0,0.45649530932643506,0.5,BALANCED,0.0,True,draw,0.9288043866639658,0.5,0.7,0.00054
270,-500.0,0.44298385933921797,0.5,BALANCED,0.0,True,draw,0.9255814644436005,0.5,0.7,0.00054
280,-500.0,0.42987232426246613,0.5,BALANCED,0.0,True,draw,0.9231475577104311,0.5,0.7,0.00054
290,-500.0,0.41714886732545814,0.5,BALANCED,0.0,True,draw,0.91514410482609,0.5,0.7,0.00054
300,-500.0,0.4048020021048524,0.5,BALANCED,0.0,True,draw,0.9090779235959007,0.5,0.7,0.00054
310,-279.0,0.3928205821550279,0.5,BALANCED,0.0,True,draw,0.9065063142756875,0.5,0.7,0.00054
320,-403.0,0.38119379094534706,0.5,BALANCED,0.0,True,draw,0.9020400970808506,0.5,0.7,0.00054
330,-320.0,0.3699111320952587,0.5,BALANCED,0.0,True,draw,0.8819711837905816,0.5,0.7,0.00054
340,-500.0,0.3589624198984244,0.5,BALANCED,0.0,True,draw,0.8800863505984795,0.5,0.7,0.00054
350,-500.0,0.34833777012731426,0.5,BALANCED,0.0,True,draw,0.8779305028648936,0.5,0.7,0.00054
360,-468.0,0.33802759110996905,0.5,BALANCED,0.0,True,draw,0.8756558319911631,0.5,0.7,0.00054
370,-155.0,0.3280225750708758,0.5,BALANCED,0.0,True,draw,0.870382497592495,0.5,0.7,0.00054
380,-223.0,0.3183136897281373,0.5,BALANCED,0.0,True,draw,0.8560310942363983,0.5,0.7,0.00054
390,-500.0,0.3088921701393506,0.5,BALANCED,0.0,True,draw,0.8516390355145218,0.5,0.7,0.00054
400,-257.0,0.2997495107888329,0.5,BALANCED,0.0,True,draw,0.8479642644520422,0.5,0.7,0.00054
410,-500.0,0.29087745790905184,0.5,BALANCED,0.0,True,draw,0.8380612328576136,0.5,0.7,0.00054
420,-177.0,0.28226800202932767,0.5,BALANCED,0.0,True,draw,0.829216713128162,0.5,0.7,0.00054
430,-495.0,0.27391337074507993,0.5,BALANCED,0.0,True,draw,0.8183609174033422,0.5,0.7,0.00054
440,-156.0,0.26580602170109296,0.5,BALANCED,0.0,True,draw,0.8104291511027764,0.5,0.7,0.00054
450,-300.0,0.25793863578246295,0.5,BALANCED,0.0,True,draw,0.8069877732712071,0.5,0.7,0.00054
460,-500.0,0.25030411050708157,0.5,BALANCED,0.0,True,draw,0.8053858137398868,0.5,0.7,0.00054
470,-130.0,0.24289555361369,0.5,BALANCED,0.0,True,draw,0.8014566220529276,0.5,0.7,0.00054
480,-305.0,0.23570627683971565,0.5,BALANCED,0.0,True,draw,0.795969200296685,0.5,0.7,0.00054
490,-175.0,0.2287297898832734,0.5,BALANCED,0.0,True,draw,0.7885273837349948,0.5,0.7,0.00054
